tm;season;avg_pts;avg_trb;avg_ast;total_games;distinct_players;season_year
PHI;1983;656.05.00;280.7142857142857;144.00.00;851;14;1983
PHI;1984;589.02.00;237.53333333333333;135.46666666666667;824;15;1984
PHI;1985;661.05.00;261.7857142857143;142.78571428571428;843;14;1985
PHI;1986;502.8333333333333;205.77777777777777;112.05555555555556;798;18;1986
PHI;1987;545.5625;219.0625;121.4375;722;16;1987
PHI;1988;481.05.00;195.88888888888889;105.38888888888889;792;18;1988
PHI;1989;573.375;218.6875;131.875;856;16;1989
PHI;1990;564.9375;219.8125;120.75;806;16;1990
PHI;1991;480.05555555555554;193.33333333333334;101.33333333333333;821;18;1991
PHI;1992;522.375;210.4375;109.6875;834;16;1992
PHI;1993;611.1428571428571;247.28571428571428;145.57142857142858;840;14;1993
PHI;1994;472.52941176470586;200.35294117647058;107.47058823529412;848;17;1994
PHI;1995;411.57894736842104;175.52631578947367;82.42105263157895;786;19;1995
PHI;1996;322.75;133.00.00;67.875;773;24;1996
PHI;1997;513.4375;226.375;105.9375;829;16;1997
PHI;1998;347.77272727272725;155.4090909090909;78.5909090909091;849;22;1998
PHI;1999;249.05555555555554;119.83333333333333;51.888888888888886;508;18;1999
PHI;2000;431.72222222222223;200.83333333333334;100.94444444444444;845;18;2000
PHI;2001;408.57894736842104;193.42105263157896;89.05263157894737;825;19;2001
PHI;2002;392.6842105263158;190.8421052631579;86.21052631578948;816;19;2002
PHI;2003;496.3125;216.0625;110.6875;813;16;2003
PHI;2004;515.3571428571429;239.21428571428572;117.14285714285714;821;14;2004
PHI;2005;478.11764705882354;202.64705882352942;100.58823529411765;821;17;2005
PHI;2006;479.2352941176471;194.00.00;97.23529411764706;831;17;2006
PHI;2007;432.05.00;180.66666666666666;92.72222222222223;825;18;2007
PHI;2008;528.02.00;229.13333333333333;111.53333333333333;834;15;2008
PHI;2009;614.3846153846154;259.61538461538464;126.6923076923077;837;13;2009
PHI;2010;500.875;210.125;107.6875;838;16;2010
PHI;2011;541.2666666666667;228.53333333333333;124.06666666666666;817;15;2011
PHI;2012;386.25.00;178.00.00;90.8125;647;16;2012
PHI;2013;449.4117647058824;199.35294117647058;109.82352941176471;811;17;2013
PHI;2014;354.5652173913044;152.3913043478261;77.8695652173913;835;23;2014
PHI;2015;301.68;140.56.00;67.32.00;854;25;2015
PHI;2016;443.77777777777777;187.88888888888889;98.05555555555556;849;18;2016
PHI;2017;400.00.00;167.28571428571428;92.80952380952381;841;21;2017
PHI;2018;391.4782608695652;169.08695652173913;96.56521739130434;837;23;2018
PHI;2019;363.2692307692308;150.65384615384616;84.88461538461539;834;26;2019
PHI;2020;425.4736842105263;174.57894736842104;99.15789473684211;775;19;2020
PHI;2021;355.7391304347826;141.04347826086956;74.17391304347827;829;23;2021
PHI;2022;391.95652173913044;150.8695652173913;84.56521739130434;843;23;2022
PHI;2023;449.9047619047619;159.8095238095238;98.23809523809524;888;21;2023
PHI;2024;335.60714285714283;125.78571428571429;72.89285714285714;910;28;2024
PHI;2025;294.14285714285717;105.05.00;61.892857142857146;767;28;2025
PHO;1969;704.7692307692307;346.7692307692308;147.53846153846155;751;13;1969
PHO;1970;815.05.00;348.5833333333333;173.00.00;785;12;1970
PHO;1971;777.75;370.1666666666667;160.58333333333334;808;12;1971
PHO;1972;681.00.00;307.2142857142857;141.14285714285714;820;14;1972
PHO;1973;762.9166666666666;333.5833333333333;162.00.00;742;12;1973
PHO;1974;631.9285714285714;272.35714285714283;146.57142857142858;794;14;1974
PHO;1975;638.2307692307693;310.2307692307692;144.53846153846155;795;13;1975
PHO;1976;574.6666666666666;244.04.00;138.86666666666667;830;15;1976
PHO;1977;661.7692307692307;273.2307692307692;161.53846153846155;846;13;1977
PHO;1978;767.5833333333334;312.0833333333333;194.83333333333334;862;12;1978
PHO;1979;727.6153846153846;266.3076923076923;192.30769230769232;845;13;1979
PHO;1980;759.05.00;294.0833333333333;190.25.00;863;12;1980
PHO;1981;819.9090909090909;338.54545454545456;200.45454545454547;845;11;1981
PHO;1982;669.6153846153846;280.00.00;171.00.00;848;13;1982
PHO;1983;626.8571428571429;258.00.00;164.28571428571428;898;14;1983
PHO;1984;650.0714285714286;240.28571428571428;158.14285714285714;894;14;1984
PHO;1985;590.5333333333333;230.06666666666666;155.66666666666666;847;15;1985
PHO;1986;530.7647058823529;204.88235294117646;133.64705882352942;862;17;1986
PHO;1987;650.7857142857143;248.05.00;168.14285714285714;888;14;1987
PHO;1988;468.4736842105263;183.78947368421052;122.73684210526316;817;19;1988
PHO;1989;572.1764705882352;218.47058823529412;134.11764705882354;827;17;1989
PHO;1990;588.9375;231.05.00;131.8125;842;16;1990
PHO;1991;584.25.00;233.125;138.0625;854;16;1991
PHO;1992;707.2307692307693;280.46153846153845;169.3846153846154;822;13;1992
PHO;1993;619.8666666666667;243.04.00;139.13333333333333;826;15;1993
PHO;1994;522.1176470588235;216.05882352941177;133.00.00;853;17;1994
PHO;1995;604.8666666666667;228.66666666666666;146.53333333333333;853;15;1995
PHO;1996;503.05882352941177;206.47058823529412;117.70588235294117;799;17;1996
PHO;1997;366.5652173913044;143.1304347826087;89.8695652173913;842;23;1997
PHO;1998;544.04.00;229.53333333333333;141.06.00;829;15;1998
PHO;1999;281.11764705882354;118.58823529411765;73.47058823529412;522;17;1999
PHO;2000;477.11764705882354;210.58823529411765;123.41176470588235;840;17;2000
PHO;2001;481.875;218.6875;119.0625;847;16;2001
PHO;2002;410.63157894736844;184.31578947368422;96.73684210526316;829;19;2002
PHO;2003;559.5714285714286;249.21428571428572;122.78571428571429;833;14;2003
PHO;2004;406.4736842105263;175.26315789473685;83.47368421052632;777;19;2004
PHO;2005;503.00.00;201.05555555555554;107.05555555555556;768;18;2005
PHO;2006;493.6666666666667;190.44444444444446;121.05555555555556;733;18;2006
PHO;2007;645.05.00;237.14285714285714;151.57142857142858;741;14;2007
PHO;2008;564.125;212.6875;136.75;736;16;2008
PHO;2009;498.55555555555554;190.00.00;105.83333333333333;831;18;2009
PHO;2010;602.06.00;235.06666666666666;127.46666666666667;846;15;2010
PHO;2011;453.2105263157895;173.6315789473684;102.36842105263158;849;19;2011
PHO;2012;499.38461538461536;211.69230769230768;114.3076923076923;708;13;2012
PHO;2013;487.8125;213.3125;115.9375;868;16;2013
PHO;2014;575.2666666666667;235.26666666666668;104.02.00;856;15;2014
PHO;2015;365.0869565217391;153.8695652173913;72.1304347826087;852;23;2015
PHO;2016;359.60869565217394;159.82608695652175;73.95652173913044;860;23;2016
